Industry Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Fossil fuel combustion: carbon dioxide,814.0864616,797.1306659,828.1444652,830.1593355,839.2226327,851.8217775,887.3781904,884.4004387,848.3431802,816.4961525,832.6842716,827.1011042,812.945984,810.6737845,829.7674448,803.0321983,823.7948421,819.9983659,778.30439,704.1193013,754.120373,754.6278869,762.8090332,794.6559243,774.0354627,767.1707929,767.8516264,771.2354452
Natural gas and petroleum systems,280.7110998,282.4873699,279.2800965,277.8025987,277.20246,267.869868,263.3774,262.5672427,253.8948457,251.0854742,250.0358668,252.4214083,248.5887773,247.4441827,246.9853317,249.2779001,252.8397334,250.8707233,256.0271415,243.6571454,245.0927376,251.4466295,252.7555173,264.5839634,269.3489271,270.5485209,258.8694826,259.8903424
Other industrial categories,106.29502,115.5777361,114.7926952,104.9019037,114.7448121,115.3853093,109.1719007,116.7381059,133.3603414,139.5035454,122.7406683,120.7080737,120.3213061,115.8898,134.7861234,125.5267798,126.3622186,112.6427967,111.8702048,98.35203723,104.0002234,98.845498,99.10605217,112.6103817,108.9637882,115.1027923,102.4516577,112.7644646
Chemical production and use,71.87808127,72.59824661,72.78804987,75.00128302,78.43066547,82.7573096,84.2186363,79.15642482,76.08419501,75.02860439,73.11064832,61.85626583,65.57967389,63.75312956,65.12736388,65.02568153,66.0572476,72.40175331,57.44239052,54.01745617,66.52413677,69.99601386,65.16704426,64.36300224,63.58656496,68.61248143,70.80078495,72.13719326
Coal mining,103.6864373,100.5040518,98.57027171,85.46088466,87.27795505,86.20413027,86.046351,84.42657399,83.9581952,79.51183775,77.01580496,75.96446986,71.14308597,71.12842583,72.18437438,70.71799899,72.07750127,71.11847968,81.9700039,86.2181961,88.9140174,77.6511847,72.66722738,70.82468515,70.90341348,67.62025881,60.53980525,62.10496807
Mineral products,51.29921615,49.98292372,50.72022172,52.77097065,55.02098306,57.81890589,58.9017313,60.22425178,61.4453918,62.01208275,61.94607348,61.23736132,62.78945779,62.91487707,67.19778137,68.15152398,70.04966448,67.75380759,62.73315038,47.88117011,53.21363781,54.31568036,56.52770753,59.17016803,63.14692798,62.35343419,60.83833946,61.60564135
Metal production,138.4475446,125.4895871,125.1448981,120.0050953,120.3124012,124.0601446,124.2363585,123.6212019,114.1843738,111.3460965,110.6187413,91.65290738,89.93684022,85.86197968,83.61997448,81.5394433,83.54002411,87.09725342,80.95501059,52.71362785,66.07422223,73.30746232,67.35710043,64.82432244,68.08121787,57.04817435,49.40042132,48.71384624
Production and use of fluorinated gases,49.67791712,45.01059466,49.64416931,46.42217805,44.95559365,49.30580662,49.24352763,48.93266602,62.76585814,51.80433477,48.01644614,34.58935489,37.9734573,27.34117449,34.01527486,32.63024392,31.36553472,35.73945146,31.90832428,23.02256844,28.01956171,31.9463607,29.91950145,29.84489423,32.9511848,34.84483073,35.65120049,40.19777353
Fossil fuel combustion: other greenhouse gases,12.47393199,12.30639303,12.46490106,12.36501901,12.61775319,12.73788209,12.86274761,12.95356035,12.58724949,12.41656252,12.64943879,12.98861653,12.84105967,13.06707339,12.82265873,12.4548947,12.35391144,11.41754774,10.37850498,9.19857773,9.502761961,9.107100483,8.672799484,8.650226046,8.258631243,7.865146136,7.731676432,7.804997943
Total,1628.55571,1601.087569,1631.549769,1604.889269,1629.785256,1647.961134,1675.436843,1673.020466,1646.623631,1599.204691,1588.81796,1538.519562,1522.119642,1498.074427,1546.506328,1508.356665,1538.440678,1529.040179,1471.589121,1319.18008,1415.461672,1421.243817,1414.981983,1469.527568,1459.276118,1451.166432,1414.134995,1436.454673
