|Product|Date|Production kBOE
0|Crude|1920|442929.0
1|Crude|1921|472183.0
2|Crude|1922|557531.0
3|Crude|1923|732407.0
4|Crude|1924|713940.0
5|Crude|1925|620373.0
6|Crude|1926|770874.0
7|Crude|1927|901129.0
8|Crude|1928|901474.0
9|Crude|1929|1007323.0
10|Crude|1930|898011.0
11|Crude|1931|851081.0
12|Crude|1932|785159.0
13|Crude|1933|905656.0
14|Crude|1934|908065.0
15|Crude|1935|993942.0
16|Crude|1936|1098513.0
17|Crude|1937|1277653.0
18|Crude|1938|1213254.0
19|Crude|1939|1264256.0
20|Crude|1940|1503176.0
21|Crude|1941|1404182.0
22|Crude|1942|1385479.0
23|Crude|1943|1505613.0
24|Crude|1944|1677904.0
25|Crude|1945|1713655.0
26|Crude|1946|1733424.0
27|Crude|1947|1856987.0
28|Crude|1948|2020185.0
29|Crude|1949|1841940.0
30|Crude|1950|1973574.0
31|Crude|1951|2247711.0
32|Crude|1952|2289836.0
33|Crude|1953|2357082.0
34|Crude|1954|2314988.0
35|Crude|1955|2484428.0
36|Crude|1956|2617283.0
37|Crude|1957|2616901.0
38|Crude|1958|2448987.0
39|Crude|1959|2574590.0
40|Crude|1960|2574933.0
41|Crude|1961|2621758.0
42|Crude|1962|2676189.0
43|Crude|1963|2752723.0
44|Crude|1964|2786822.0
45|Crude|1965|2848514.0
46|Crude|1966|3027763.0
47|Crude|1967|3215742.0
48|Crude|1968|3329042.0
49|Crude|1969|3371751.0
50|Crude|1970|3517450.0
51|Crude|1971|3453914.0
52|Crude|1972|3455368.0
53|Crude|1973|3360903.0
54|Crude|1974|3202585.0
55|Crude|1975|3056779.0
56|Crude|1976|2976180.0
57|Crude|1977|3009265.0
58|Crude|1978|3178216.0
59|Crude|1979|3121310.0
60|Crude|1980|3146365.0
61|Crude|1981|3128624.0
62|Crude|1982|3156715.0
63|Crude|1983|3170999.0
64|Crude|1984|3249696.0
65|Crude|1985|3274553.0
66|Crude|1986|3168252.0
67|Crude|1987|3047377.0
68|Crude|1988|2979126.0
69|Crude|1989|2778772.0
70|Crude|1990|2684689.0
71|Crude|1991|2707039.0
72|Crude|1992|2624631.0
73|Crude|1993|2499033.0
74|Crude|1994|2431476.0
75|Crude|1995|2394269.0
76|Crude|1996|2366016.0
77|Crude|1997|2354831.0
78|Crude|1998|2281920.0
79|Crude|1999|2146732.0
80|Crude|2000|2130706.0
81|Crude|2001|2117512.0
82|Crude|2002|2096588.0
83|Crude|2003|2061994.0
84|Crude|2004|1991394.0
85|Crude|2005|1892096.0
86|Crude|2006|1856341.0
87|Crude|2007|1851973.0
88|Crude|2008|1829879.0
89|Crude|2009|1955194.0
90|Crude|2010|2001758.0
91|Crude|2011|2068316.0
92|Crude|2012|2385704.0
93|Crude|2013|2734901.0
94|Crude|2014|3207206.0
95|Crude|2015|3445138.0
96|Crude|2016|3235183.0
97|Crude|2017|3413418.0
98|Crude|2018|4011519.0
99|Crude|2019|4464530.0
0|Natural Gas|1973|0.0
1|Natural Gas|1974|0.0
2|Natural Gas|1975|0.0
3|Natural Gas|1976|0.0
4|Natural Gas|1977|0.0
5|Natural Gas|1978|0.0
6|Natural Gas|1979|0.0
7|Natural Gas|1980|3644333.333333334
8|Natural Gas|1981|3598000.0
9|Natural Gas|1982|3378666.6666666665
10|Natural Gas|1983|3109840.8333333335
11|Natural Gas|1984|3377753.4999999995
12|Natural Gas|1985|3267783.3333333335
13|Natural Gas|1986|3188451.833333333
14|Natural Gas|1987|3356699.8333333335
15|Natural Gas|1988|3499875.8333333335
16|Natural Gas|1989|3512404.5
17|Natural Gas|1990|3587103.6666666665
18|Natural Gas|1991|3757886.3333333335
19|Natural Gas|1992|3825080.1666666665
20|Natural Gas|1993|3922113.8333333335
21|Natural Gas|1994|4062327.8333333335
22|Natural Gas|1995|4086433.9999999995
23|Natural Gas|1996|4154885.666666666
24|Natural Gas|1997|4147104.5
25|Natural Gas|1998|4148722.6666666665
26|Natural Gas|1999|4106370.8333333335
27|Natural Gas|2000|4175003.3333333326
28|Natural Gas|2001|4214621.166666666
29|Natural Gas|2002|4128630.3333333335
30|Natural Gas|2003|4169012.6666666674
31|Natural Gas|2004|4147782.5
32|Natural Gas|2005|4062569.166666667
33|Natural Gas|2006|4099658.833333333
34|Natural Gas|2007|4297440.166666666
35|Natural Gas|2008|4456952.833333333
36|Natural Gas|2009|4525598.666666667
37|Natural Gas|2010|4659605.166666667
38|Natural Gas|2011|4940064.5
39|Natural Gas|2012|5112000.666666666
40|Natural Gas|2013|5035272.333333333
41|Natural Gas|2014|5339486.666666667
42|Natural Gas|2015|5587667.500000001
43|Natural Gas|2016|5527232.999999999
44|Natural Gas|2017|5637329.000000001
45|Natural Gas|2018|6271823.833333333
46|Natural Gas|2019|6863423.166666667
