Year,MMCF,MBOE
2019,40704488.0,6784081.3
2018,37129374.0,6188229.0
2017,33292113.0,5548685.5
2016,32591578.0,5431929.7
2015,32914647.0,5485774.5
2014,31405381.0,5234230.2
2013,29522551.0,4920425.2
2012,29542313.0,4923718.8
2011,28479026.0,4746504.3
2010,26816085.0,4469347.5
2009,26056893.0,4342815.5
2008,25636257.0,4272709.5
2007,24663656.0,4110609.3
2006,23535018.0,3922503.0
2005,23456822.0,3909470.3
2004,23969678.0,3994946.3
2003,24118978.0,4019829.7
2002,23941279.0,3990213.2
2001,24500779.0,4083463.2
2000,24173875.0,4028979.2
1999,23822711.0,3970451.8
1998,24108128.0,4018021.3
1997,24212677.0,4035446.2
1996,24113536.0,4018922.7
1995,23743628.0,3957271.3
1994,23580706.0,3930117.7
1993,22725642.0,3787607.0
1992,22132249.0,3688708.2
1991,21750108.0,3625018.0
1990,21522622.0,3587103.7
1989,21074425.0,3512404.2
1988,20999255.0,3499875.8
1987,20140200.0,3356700.0
1986,19130711.0,3188451.8
1985,19606699.0,3267783.2
1984,20266522.0,3377753.7
1983,18659046.0,3109841.0
1982,20272254.0,3378709.0
1981,21587453.0,3597908.8
1980,21869692.0,3644948.7
1979,21883353.0,3647225.5
1978,21308815.0,3551469.2
1977,21097071.0,3516178.5
1976,20943778.0,3490629.7
1975,21103530.0,3517255.0
1974,22849793.0,3808298.8
1973,24067202.0,4011200.3
1972,24016109.0,4002684.8
1971,24088031.0,4014671.8
1970,23786453.0,3964408.8
1969,22679195.0,3779865.8
1968,21325000.0,3554166.7
1967,20251776.0,3375296.0
1966,19033839.0,3172306.5
1965,17963100.0,2993850.0
1964,17535553.0,2922592.2
1963,16973368.0,2828894.7
1962,16038973.0,2673162.2
1961,15460312.0,2576718.7
1960,15087911.0,2514651.8
1959,14229272.0,2371545.3
1958,13146635.0,2191105.8
1957,12906669.0,2151111.5
1956,12372905.0,2062150.8
1955,11719794.0,1953299.0
1954,10984850.0,1830808.3
1953,10645798.0,1774299.7
1952,10272566.0,1712094.3
1951,9689372.0,1614895.3
1950,8479650.0,1413275.0
1949,7546825.0,1257804.2
1948,7178777.0,1196462.8
1947,6733230.0,1122205.0
1946,6293037.0,1048839.5
1945,6000161.0,1000026.8
1944,5708288.0,951381.3
1943,5024449.0,837408.2
1942,4525095.0,754182.5
1941,4168116.0,694686.0
1940,3752702.0,625450.3
1939,3387095.0,564515.8
1938,3108858.0,518143.0
1937,3084567.0,514094.5
1936,2691512.0,448585.3
