Year|CO2|CH4|N2O|F-GHGs|Total
1990|5128.300616851298|774.4095340333525|434.62426740648016|99.66571246537451|6437.0001307565035
1991|5078.889575885224|778.8605425037375|424.82828626438993|90.6812988182415|6373.259703471595
1992|5182.7067196594535|777.7540088521774|424.34813698165766|95.27772226637349|6480.086587759661
1993|5283.437595115934|765.9626834450676|452.3705429437261|95.0037321390418|6596.774553643769
1994|5377.032708186466|772.16076158993|437.5600640003257|98.976936888632|6685.730470665354
1995|5438.905703572586|764.998070920595|449.2575446976146|117.85432114808063|6771.0156403388755
1996|5626.911901086238|757.6305060853226|460.8569218817138|129.00771516130962|6974.407044214584
1997|5703.706968032832|741.833573974085|446.66273942952165|136.60135393675262|7028.8046353731925
1998|5751.051979951976|726.6997549890524|446.98949614278604|153.0090326497969|7077.750263733611
1999|5830.297636044757|708.8607259486777|436.401289568972|150.04933210871408|7125.608983671121
2000|5998.070433774717|703.01092342327|423.3097011953112|151.00591053804828|7275.396968931346
2001|5900.436596240849|695.6504363529274|438.52233684267|137.86570671920722|7172.475076155653
2002|5942.652334606652|688.4182550577925|436.64647163817887|146.7435407768827|7214.460602079507
2003|5991.959633323117|688.0313399551699|437.1439550288962|137.97748163745908|7255.1124099446415
2004|6107.6182463268005|681.7187031680049|446.6972042624282|145.6345300737101|7381.668683830945
2005|6131.892976352332|679.5620901817|432.63274509478515|147.6833183185315|7391.771129947348
2006|6051.05102176828|683.9538355970575|428.7137665860117|150.67026673343148|7314.3888906847815
2007|6128.429640487219|685.6695338756|439.9328944327465|162.4224002280553|7416.454469023621
2008|5930.539643340288|691.6920527871075|423.6461807135112|164.25142517830582|7210.1293020192115
2009|5491.0357269944925|680.1978130645749|422.46146189201136|160.211084090207|6753.906086041286
2010|5698.055779313157|682.3363291749299|431.42377119781685|169.79716529157741|6981.61304497748
2011|5565.294401122664|656.2704471928901|421.855668428415|177.1129526206905|6820.533469364659
2012|5367.568555235485|646.8301438503573|392.262992961595|174.01312369320172|6580.67481574064
2013|5514.029294376041|642.457536454565|439.1752413966716|173.88895678937263|6769.55102901665
2014|5561.719216159102|639.0111102365099|449.265173863648|179.02115504829936|6829.016655307559
2015|5412.432194420354|638.482827006485|443.82130164671526|181.63510400671882|6676.371427080274
2016|5292.2675614600485|624.2447869927751|426.0674007977383|181.50068826004392|6524.080437510605
2017|5253.606130027474|630.3044675042826|421.2589345340406|183.06510756142958|6488.234639627227
2018|5424.881502132882|634.4571270782675|434.5285553766664|182.7824324617768|6676.649617049592
