Year,MMCF
2018-01-01,468347.0
2017-01-01,281947.0
2016-01-01,230410.0
2015-01-01,289545.0
2014-01-01,293916.0
2013-01-01,260394.0
2012-01-01,212848.0
2011-01-01,209439.0
2010-01-01,165928.0
2009-01-01,165360.0
2008-01-01,166909.0
2007-01-01,143457.0
2006-01-01,129469.0
2005-01-01,119097.0
2004-01-01,96408.0
2003-01-01,98113.0
2002-01-01,99178.0
2001-01-01,96913.0
2000-01-01,91232.0
1999-01-01,110285.0
1998-01-01,103019.0
1997-01-01,256351.0
1996-01-01,272117.0
1995-01-01,283739.0
1994-01-01,228336.0
1993-01-01,226743.0
1992-01-01,167519.0
1991-01-01,169909.0
1990-01-01,150415.0
1989-01-01,141642.0
1988-01-01,142525.0
1987-01-01,123707.0
1986-01-01,97633.0
1985-01-01,94778.0
1984-01-01,107913.0
1983-01-01,94962.0
1982-01-01,93365.0
1981-01-01,98017.0
1980-01-01,125451.0
1979-01-01,167019.0
1978-01-01,153350.0
1977-01-01,136807.0
1976-01-01,131930.0
1975-01-01,133913.0
1974-01-01,169381.0
1973-01-01,248292.0
1972-01-01,248119.0
1971-01-01,284561.0
1970-01-01,489460.0
1969-01-01,525750.0
1968-01-01,516508.0
1967-01-01,489877.0
1966-01-01,375695.0
1965-01-01,319143.0
1964-01-01,341853.0
1963-01-01,383408.0
1962-01-01,425629.0
1961-01-01,523533.0
1960-01-01,562877.0
1959-01-01,571048.0
1958-01-01,633412.0
1957-01-01,809148.0
1956-01-01,864334.0
1955-01-01,773639.0
1954-01-01,723567.0
1953-01-01,810276.0
1952-01-01,848608.0
1951-01-01,793186.0
1950-01-01,801044.0
1949-01-01,853884.0
1948-01-01,810178.0
1947-01-01,1067938.0
1946-01-01,1102033.0
1945-01-01,896208.0
1944-01-01,1010285.0
1943-01-01,684115.0
1942-01-01,626782.0
1941-01-01,630212.0
1940-01-01,655967.0
1939-01-01,677311.0
1938-01-01,649106.0
1937-01-01,526159.0
1936-01-01,392528.0
